Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Pakistan,Sweet potatoes,1999,103838,494,128.89,19.0
Italy,Rice,2001,52234,832,115.96,13.5
USA,Wheat,1990,32972,715,150.4,8.5
United Kingdom,Potatoes,1992,160648,1220,138.99,9.5
France,Yams,2012,151513,867,77.29,12.5
France,Potatoes,2013,227939,867,79.22,12.5
Turkey,Plantains,1996,78206,574,124.15,11.1
Austria,Rice,2002,48908,1110,111.07,6.35
USA,Wheat,1997,30630,715,120.51,8.5
Pakistan,Cassava,2002,106987,494,109.48,19.0
Brazil,Rice,2013,63231,1761,84.71,25.0
Canada,Plantains,2000,59724,537,119.86,-5.35
Australia,Sweet potatoes,1993,151286,534,132.04,21.65
Pakistan,Soybeans,2001,26767,494,116.81,19.0
Canada,Wheat,1991,24163,537,140.71,-5.35
Argentina,Wheat,1999,32792,590,121.78,16.0
Vietnam,Plantains,1992,74176,1821,149.97,25.5
Netherlands,Wheat,2001,33569,850,125.28,9.5
Albania,Soybeans,2012,29645,1485,79.62,16.37
Argentina,Wheat,2007,40971,590,91.79,16.0
Albania,Yams,1990,92435,1485,152.36,16.37
France,Rice,1998,56787,867,125.5,12.5
Turkey,Yams,2012,160010,574,86.06,11.1
Brazil,Sweet potatoes,1995,147004,1761,129.83,25.0
Italy,Maize,1993,45467,832,136.06,13.5
Spain,Plantains,2013,74561,636,87.95,14.0
Thailand,Soybeans,1995,28225,1622,139.1,28.0
Bangladesh,Maize,1992,47246,2666,149.88,25.5
Thailand,Soybeans,2011,35813,1622,80.47,28.0
Germany,Soybeans,2004,30850,700,111.34,8.5
Indonesia,Soybeans,2003,30273,2702,118.92,26.5
USA,Maize,1993,53834,715,139.32,8.5
Pakistan,Cassava,2003,106913,494,103.34,19.0
Argentina,Soybeans,2013,37392,590,73.49,16.0
Belgium,Potatoes,2012,218404,847,89.24,10.5
Mexico,Rice,1990,55922,758,144.71,21.0
Vietnam,Potatoes,2009,229089,1821,91.37,25.5
Germany,Maize,2005,65650,700,110.93,8.5
Indonesia,Rice,2001,66709,2702,120.25,26.5
Thailand,Potatoes,2005,212962,1622,110.02,28.0
France,Potatoes,1991,166685,867,141.05,12.5
Pakistan,Cassava,2001,102728,494,120.1,19.0
Germany,Cassava,2013,155443,700,90.27,8.5
Mexico,Rice,2005,59707,758,103.33,21.0
China,Soybeans,2011,34962,645,90.65,8.5
Vietnam,Rice,1998,61903,1821,116.37,25.5
Austria,Rice,1994,47464,1110,147.26,6.35
Belgium,Sorghum,2002,19979,847,120.07,10.5
Thailand,Yams,2006,146075,1622,101.21,28.0
Mexico,Plantains,2000,81780,758,118.2,21.0
Indonesia,Cassava,2005,157752,2702,110.02,26.5
Germany,Sweet potatoes,2009,182919,700,91.92,8.5
Thailand,Plantains,1999,77595,1622,122.71,28.0
Belgium,Plantains,2012,74239,847,82.57,10.5
Belgium,Potatoes,2000,198023,847,119.51,10.5
Vietnam,Cassava,2006,152813,1821,95.44,25.5
Argentina,Plantains,1993,63253,590,138.47,16.0
Brazil,Yams,2008,135309,1761,92.28,25.0
Japan,Sweet potatoes,2001,155156,1668,125.42,12.0
Argentina,Wheat,1995,35293,590,128.29,16.0
Turkey,Sweet potatoes,2010,184865,574,82.08,11.1
Albania,Yams,2005,131841,1485,109.92,16.37
Vietnam,Rice,2004,54597,1821,101.19,25.5
Albania,Cassava,1993,126236,1485,133.54,16.37
Vietnam,Yams,2000,115058,1821,129.06,25.5
Italy,Plantains,2006,72640,832,103.23,13.5
Pakistan,Plantains,1993,52951,494,139.71,19.0
Mexico,Plantains,1992,71787,758,151.63,21.0
Argentina,Cassava,2013,162312,590,88.4,16.0
Indonesia,Maize,2008,61855,2702,94.16,26.5
Mexico,Soybeans,1990,26157,758,144.01,21.0
China,Sweet potatoes,1992,140829,645,142.05,8.5
Albania,Sorghum,2004,16660,1485,108.24,16.37
Mexico,Yams,1990,129021,758,159.25,21.0
Japan,Cassava,1997,123394,1668,138.35,12.0
Austria,Wheat,1994,34326,1110,140.13,6.35
Bangladesh,Rice,2013,72339,2666,87.13,25.5
Netherlands,Soybeans,2012,31753,850,78.21,9.5
Turkey,Maize,1999,63226,574,116.12,11.1
Pakistan,Maize,2005,47041,494,95.67,19.0
Italy,Soybeans,2001,34399,832,112.78,13.5
Turkey,Potatoes,1996,203554,574,140.56,11.1
Germany,Yams,2002,125747,700,105.38,8.5
Netherlands,Cassava,1999,129128,850,121.3,9.5
Thailand,Potatoes,1990,207687,1622,154.97,28.0
Austria,Wheat,2005,31913,1110,98.04,6.35
Italy,Wheat,1993,27333,832,141.37,13.5
Albania,Sorghum,1996,17633,1485,135.44,16.37
Italy,Soybeans,2006,27539,832,94.86,13.5
France,Sorghum,2005,18981,867,109.7,12.5
Pakistan,Yams,1990,88116,494,159.47,19.0
Thailand,Plantains,1993,80804,1622,134.43,28.0
Thailand,Yams,2009,126264,1622,88.46,28.0
Austria,Potatoes,2004,230262,1110,110.95,6.35
USA,Wheat,2006,39733,715,96.71,8.5
Japan,Yams,2009,124080,1668,84.97,12.0
Austria,Rice,2010,60991,1110,80.47,6.35
France,Soybeans,2013,40183,867,89.63,12.5
Netherlands,Sorghum,1992,17492,850,148.13,9.5
Spain,Cassava,2013,184544,636,74.72,14.0
United Kingdom,Sweet potatoes,1999,140886,1220,116.32,9.5
USA,Plantains,2011,73511,715,79.91,8.5
Turkey,Cassava,2012,139473,574,79.5,11.1
United Kingdom,Cassava,2006,165312,1220,97.56,9.5
France,Maize,2006,70517,867,100.28,12.5
Argentina,Sweet potatoes,2006,165812,590,102.04,16.0
Argentina,Cassava,1998,150868,590,119.63,16.0
Egypt,Wheat,2000,30921,51,115.92,22.5
Indonesia,Cassava,1991,113545,2702,153.68,26.5
France,Sorghum,1997,16950,867,130.88,12.5
Albania,Soybeans,1998,26156,1485,116.1,16.37
India,Potatoes,1998,211798,1083,135.21,25.0
Thailand,Plantains,2003,96889,1622,108.81,28.0
United Kingdom,Yams,1997,98654,1220,123.64,9.5
China,Cassava,1994,120465,645,142.58,8.5
Pakistan,Wheat,2005,25547,494,114.0,19.0
Mexico,Wheat,2003,39088,758,109.59,21.0
China,Potatoes,1994,198198,645,130.93,8.5
Brazil,Maize,2009,66496,1761,91.45,25.0
Canada,Sorghum,2006,15123,537,97.13,-5.35
Japan,Sweet potatoes,2000,138377,1668,112.35,12.0
Thailand,Plantains,2000,73983,1622,127.83,28.0
Netherlands,Yams,2005,128638,850,110.56,9.5
Indonesia,Yams,1995,120670,2702,136.15,26.5
Brazil,Cassava,1993,124931,1761,132.41,25.0
USA,Sorghum,1997,14485,715,119.47,8.5
Canada,Rice,1993,41162,537,143.72,-5.35
Indonesia,Plantains,1990,65174,2702,156.63,26.5
USA,Soybeans,2006,37060,715,93.17,8.5
Albania,Sweet potatoes,2004,151925,1485,116.83,16.37
Canada,Soybeans,2005,29994,537,102.23,-5.35
France,Plantains,1993,67069,867,139.38,12.5
China,Maize,2010,69513,645,90.05,8.5
Australia,Yams,1996,124936,534,135.28,21.65
Germany,Potatoes,2008,240751,700,88.2,8.5
Vietnam,Sweet potatoes,2012,191630,1821,84.1,25.5
Australia,Maize,2006,70046,534,97.44,21.65
USA,Soybeans,1997,26213,715,134.1,8.5
Argentina,Yams,1998,109058,590,128.67,16.0
Netherlands,Plantains,1998,65738,850,129.36,9.5
Vietnam,Wheat,2013,42604,1821,87.37,25.5
Albania,Sweet potatoes,1994,142589,1485,135.97,16.37
China,Soybeans,1994,25819,645,145.32,8.5
Indonesia,Yams,2004,148081,2702,104.17,26.5
Thailand,Rice,2000,58874,1622,127.5,28.0
Germany,Wheat,2010,34392,700,81.5,8.5
Egypt,Sweet potatoes,2009,137999,51,89.74,22.5
China,Sorghum,2007,17300,645,94.95,8.5
France,Soybeans,1994,28197,867,145.23,12.5
Italy,Plantains,2002,68466,832,105.12,13.5
China,Plantains,1990,69489,645,151.66,8.5
Austria,Sweet potatoes,2002,164330,1110,123.13,6.35
Brazil,Maize,1996,62731,1761,137.42,25.0
Canada,Yams,2005,103695,537,111.11,-5.35
Mexico,Sweet potatoes,2004,148028,758,110.96,21.0
India,Rice,1999,54025,1083,127.36,25.0
Indonesia,Soybeans,2006,37682,2702,106.53,26.5
Netherlands,Rice,2004,49448,850,99.36,9.5
Austria,Maize,2011,56001,1110,87.89,6.35
France,Wheat,2003,31878,867,108.87,12.5
Germany,Rice,1994,42858,700,146.52,8.5
Netherlands,Soybeans,1999,29038,850,121.48,9.5
United Kingdom,Soybeans,1991,26969,1220,147.28,9.5
Belgium,Maize,1996,46775,847,131.71,10.5
Australia,Potatoes,1995,172918,534,143.31,21.65
Thailand,Maize,1998,69025,1622,135.53,28.0
Netherlands,Soybeans,1997,32786,850,132.39,9.5
Pakistan,Wheat,1998,27567,494,126.2,19.0
Thailand,Cassava,1997,146144,1622,121.16,28.0
Brazil,Soybeans,2003,33496,1761,101.17,25.0
Italy,Cassava,1995,141846,832,141.94,13.5
Turkey,Plantains,2000,64210,574,119.12,11.1
France,Potatoes,2008,227838,867,105.79,12.5
Germany,Cassava,2012,136427,700,75.99,8.5
Netherlands,Sweet potatoes,2011,181488,850,95.33,9.5
China,Wheat,1994,27459,645,144.99,8.5
Austria,Potatoes,2013,202713,1110,79.27,6.35
Egypt,Wheat,1990,23325,51,153.89,22.5
Netherlands,Soybeans,1993,25131,850,144.72,9.5
Brazil,Rice,2010,62506,1761,94.65,25.0
Japan,Maize,2004,63008,1668,104.06,12.0
Egypt,Sorghum,1991,14736,51,148.49,22.5
Argentina,Sweet potatoes,2003,176838,590,104.56,16.0
Albania,Wheat,1993,35738,1485,139.56,16.37
Thailand,Cassava,1990,114323,1622,158.76,28.0
Netherlands,Soybeans,2009,33010,850,88.72,9.5
Japan,Sweet potatoes,1994,134091,1668,141.38,12.0
Austria,Soybeans,1993,30650,1110,150.85,6.35
Belgium,Plantains,2001,68039,847,122.15,10.5
Belgium,Sweet potatoes,2004,178909,847,100.69,10.5
China,Yams,2002,110944,645,106.87,8.5
Vietnam,Maize,1994,53525,1821,143.15,25.5
Brazil,Wheat,2005,37373,1761,107.6,25.0
Brazil,Plantains,1996,77586,1761,138.87,25.0
Canada,Soybeans,2009,25633,537,102.03,-5.35
Japan,Plantains,2009,89700,1668,89.93,12.0
Egypt,Maize,2000,44854,51,126.66,22.5
Thailand,Rice,1998,50142,1622,120.09,28.0
Argentina,Cassava,2005,165632,590,108.93,16.0
Japan,Potatoes,1997,203511,1668,128.71,12.0
France,Cassava,1996,141184,867,139.14,12.5
Austria,Cassava,2008,144384,1110,89.0,6.35
Mexico,Plantains,2003,84439,758,106.65,21.0
Egypt,Plantains,2002,62205,51,113.32,22.5
Bangladesh,Yams,1993,102352,2666,141.68,25.5
Belgium,Cassava,1998,146784,847,131.4,10.5
Pakistan,Potatoes,2008,179181,494,99.19,19.0
Thailand,Sweet potatoes,1997,165188,1622,119.11,28.0
China,Plantains,2008,92041,645,88.3,8.5
Bangladesh,Maize,2012,71322,2666,85.44,25.5
Argentina,Yams,1990,102146,590,152.48,16.0
Brazil,Potatoes,2012,266202,1761,89.72,25.0
Bangladesh,Soybeans,2013,39271,2666,80.01,25.5
China,Potatoes,1996,178575,645,130.63,8.5
Vietnam,Soybeans,2012,34882,1821,83.56,25.5
Australia,Plantains,2007,92234,534,96.18,21.65
Germany,Potatoes,1995,203992,700,143.35,8.5
Australia,Cassava,2007,141296,534,100.19,21.65
France,Yams,2006,125390,867,100.35,12.5
India,Sweet potatoes,2007,188899,1083,103.83,25.0
China,Potatoes,1999,181863,645,123.28,8.5
Mexico,Sweet potatoes,2000,171228,758,121.48,21.0
Pakistan,Rice,1991,36739,494,154.95,19.0
Italy,Sweet potatoes,2000,171437,832,123.18,13.5
Pakistan,Sorghum,1993,12214,494,135.01,19.0
United Kingdom,Maize,1990,54087,1220,140.38,9.5
India,Rice,2012,62071,1083,77.85,25.0
Bangladesh,Wheat,1993,29087,2666,143.68,25.5
Turkey,Wheat,1998,34392,574,122.44,11.1
Indonesia,Plantains,1992,69444,2702,134.16,26.5
Spain,Potatoes,2004,223762,636,112.05,14.0
Canada,Plantains,2002,57695,537,107.29,-5.35
Turkey,Sweet potatoes,2012,192172,574,79.45,11.1
Argentina,Cassava,1995,134462,590,139.4,16.0
Germany,Sorghum,2012,21564,700,88.63,8.5
Canada,Sweet potatoes,1993,127531,537,137.35,-5.35
Italy,Cassava,2002,139929,832,107.38,13.5
Egypt,Potatoes,2001,195185,51,116.46,22.5
Netherlands,Maize,1993,50786,850,136.06,9.5
Austria,Wheat,1995,32274,1110,128.5,6.35
Australia,Rice,2004,59309,534,116.89,21.65
Netherlands,Wheat,1994,28139,850,141.02,9.5
Albania,Sorghum,2009,21456,1485,101.49,16.37
Netherlands,Sorghum,1997,18441,850,122.94,9.5
Indonesia,Wheat,1991,27125,2702,156.32,26.5
Pakistan,Rice,2006,38224,494,97.14,19.0
China,Rice,2001,45180,645,108.01,8.5
Japan,Wheat,1994,33848,1668,136.49,12.0
Pakistan,Wheat,2008,33511,494,99.39,19.0
Japan,Potatoes,1996,182112,1668,137.66,12.0
United Kingdom,Soybeans,1994,25079,1220,143.7,9.5
Spain,Potatoes,1990,152540,636,146.11,14.0
USA,Rice,2004,61227,715,107.85,8.5
Italy,Sorghum,2002,19784,832,116.29,13.5
Mexico,Soybeans,1997,33017,758,127.06,21.0
Germany,Wheat,1999,32487,700,124.16,8.5
Spain,Potatoes,1994,170110,636,139.26,14.0
Brazil,Yams,2010,150468,1761,98.16,25.0
Bangladesh,Sorghum,2006,20221,2666,103.55,25.5
Italy,Rice,2011,59761,832,96.05,13.5
China,Potatoes,2006,204489,645,110.94,8.5
Germany,Wheat,2000,38874,700,128.66,8.5
Turkey,Sorghum,2010,18340,574,97.57,11.1
United Kingdom,Soybeans,1997,29809,1220,133.78,9.5
Pakistan,Soybeans,1993,18767,494,143.94,19.0
Albania,Yams,2011,158494,1485,87.55,16.37
Spain,Rice,2011,65007,636,77.57,14.0
United Kingdom,Rice,1999,51057,1220,122.61,9.5
Bangladesh,Sweet potatoes,1995,154916,2666,136.83,25.5
Italy,Maize,1990,56542,832,155.24,13.5
Canada,Wheat,1995,24476,537,136.43,-5.35
United Kingdom,Cassava,2004,132655,1220,100.45,9.5
Albania,Cassava,2009,159368,1485,94.09,16.37
Turkey,Plantains,2005,90388,574,106.51,11.1
Indonesia,Sweet potatoes,2006,163331,2702,102.12,26.5
Indonesia,Wheat,1997,29561,2702,119.85,26.5
Turkey,Soybeans,2002,26671,574,108.29,11.1
Turkey,Sweet potatoes,2000,170925,574,113.31,11.1
Turkey,Maize,1996,55871,574,126.56,11.1
Argentina,Potatoes,1991,198417,590,153.26,16.0
China,Sorghum,1999,15257,645,128.2,8.5
Canada,Wheat,2001,33041,537,111.36,-5.35
Japan,Cassava,2003,152563,1668,116.22,12.0
Indonesia,Sorghum,2007,19325,2702,97.59,26.5
Italy,Soybeans,1992,25725,832,140.18,13.5
Spain,Sweet potatoes,2002,149920,636,113.05,14.0
Italy,Potatoes,1992,163621,832,150.42,13.5
Spain,Plantains,2008,89197,636,91.4,14.0
Thailand,Yams,1991,112289,1622,154.41,28.0
Belgium,Yams,2002,106762,847,108.42,10.5
Argentina,Cassava,2004,148037,590,116.64,16.0
Pakistan,Wheat,1994,22912,494,143.45,19.0
United Kingdom,Plantains,2003,83012,1220,118.72,9.5
Austria,Yams,2001,130878,1110,118.1,6.35
Italy,Plantains,1996,75596,832,136.87,13.5
Japan,Maize,2008,60919,1668,91.11,12.0
Thailand,Rice,2009,69512,1622,100.65,28.0
United Kingdom,Wheat,1993,30105,1220,147.96,9.5
Indonesia,Rice,1995,55842,2702,134.39,26.5
Vietnam,Soybeans,2002,32321,1821,121.48,25.5
Japan,Soybeans,2003,29646,1668,101.82,12.0
Pakistan,Cassava,2000,121615,494,125.84,19.0
Brazil,Maize,2002,56228,1761,114.45,25.0
Australia,Soybeans,2007,31239,534,102.76,21.65
India,Sorghum,2003,18172,1083,106.79,25.0
Albania,Potatoes,2007,185415,1485,95.62,16.37
Australia,Sorghum,1998,21006,534,133.77,21.65
United Kingdom,Potatoes,1997,161884,1220,124.25,9.5
Vietnam,Soybeans,2004,37934,1821,116.22,25.5
Australia,Maize,1999,64238,534,122.93,21.65
Argentina,Maize,1993,48816,590,131.91,16.0
Japan,Rice,1994,41590,1668,136.35,12.0
Belgium,Wheat,2009,38733,847,85.23,10.5
Pakistan,Soybeans,1990,23246,494,158.8,19.0
Egypt,Yams,2003,102966,51,110.36,22.5
Argentina,Cassava,2011,173843,590,96.7,16.0
Brazil,Maize,1992,64141,1761,135.38,25.0
Argentina,Maize,2011,72498,590,96.4,16.0
Pakistan,Sorghum,1990,13284,494,149.03,19.0
Mexico,Sweet potatoes,1999,146851,758,123.07,21.0
Thailand,Sweet potatoes,2010,169063,1622,98.09,28.0
Canada,Maize,1999,51116,537,114.77,-5.35
Mexico,Soybeans,2012,40061,758,84.82,21.0
Canada,Potatoes,2011,199981,537,86.1,-5.35
Belgium,Maize,1993,47827,847,138.29,10.5
Austria,Soybeans,2008,36164,1110,88.33,6.35
Canada,Sweet potatoes,2008,140398,537,94.93,-5.35
Germany,Soybeans,1990,27158,700,146.83,8.5
Italy,Wheat,2006,34227,832,107.78,13.5
Turkey,Sweet potatoes,2013,164651,574,80.7,11.1
China,Sorghum,2008,17567,645,94.23,8.5
Pakistan,Sorghum,2009,16008,494,83.18,19.0
Argentina,Soybeans,1994,25558,590,144.34,16.0
Spain,Sorghum,2010,20979,636,99.36,14.0
Brazil,Cassava,2007,183492,1761,92.88,25.0
India,Cassava,2002,177842,1083,105.32,25.0
Thailand,Sorghum,2005,18453,1622,102.28,28.0
Indonesia,Yams,2013,163278,2702,85.19,26.5
Australia,Maize,1990,56702,534,141.66,21.65
Netherlands,Wheat,1995,31641,850,135.73,9.5
Egypt,Cassava,1991,121360,51,156.31,22.5
India,Cassava,1991,116506,1083,156.51,25.0
Brazil,Sorghum,2001,18337,1761,115.45,25.0
Netherlands,Maize,2011,66379,850,79.4,9.5
Turkey,Cassava,1993,130800,574,143.19,11.1
Thailand,Potatoes,2006,259309,1622,103.44,28.0
Indonesia,Potatoes,2006,200777,2702,106.92,26.5
Indonesia,Wheat,1994,35295,2702,136.81,26.5
Austria,Sorghum,1997,18535,1110,120.71,6.35
Canada,Sorghum,2004,14498,537,104.53,-5.35
Thailand,Sorghum,2001,18967,1622,114.45,28.0
Italy,Cassava,1991,138253,832,147.27,13.5
Germany,Rice,1995,44105,700,144.32,8.5
Pakistan,Yams,2007,118736,494,95.07,19.0
USA,Sweet potatoes,2001,133546,715,112.6,8.5
United Kingdom,Rice,1997,55090,1220,122.76,9.5
Netherlands,Soybeans,1998,29968,850,119.51,9.5
Indonesia,Sorghum,2008,19318,2702,87.31,26.5
Argentina,Wheat,1993,34126,590,133.8,16.0
Belgium,Rice,2013,62587,847,87.92,10.5
China,Sorghum,2001,16995,645,114.22,8.5
Thailand,Soybeans,2008,34626,1622,100.32,28.0
Spain,Cassava,2011,140522,636,93.21,14.0
Indonesia,Soybeans,1997,28682,2702,128.49,26.5
United Kingdom,Cassava,2003,162262,1220,110.03,9.5
Argentina,Soybeans,2001,31295,590,109.3,16.0
Japan,Yams,2004,136403,1668,109.42,12.0
Egypt,Wheat,2005,27543,51,111.36,22.5
Netherlands,Maize,2003,52759,850,118.19,9.5
Indonesia,Plantains,1996,83598,2702,131.92,26.5
Germany,Cassava,2008,157445,700,104.26,8.5
Italy,Cassava,1993,125136,832,147.96,13.5
Spain,Soybeans,1994,24522,636,144.25,14.0
Thailand,Yams,1992,126054,1622,152.53,28.0
Belgium,Yams,1997,107357,847,134.75,10.5
Australia,Sweet potatoes,1998,175405,534,126.95,21.65
Italy,Plantains,2001,86778,832,115.15,13.5
Indonesia,Maize,1994,49849,2702,136.13,26.5
China,Sweet potatoes,2004,156284,645,100.16,8.5
Australia,Cassava,1998,128877,534,116.23,21.65
United Kingdom,Rice,2002,52499,1220,119.4,9.5
Germany,Sorghum,2011,20318,700,91.56,8.5
India,Potatoes,1991,179353,1083,142.18,25.0
Turkey,Maize,2008,67499,574,88.87,11.1
Indonesia,Cassava,1994,120092,2702,134.25,26.5
Turkey,Sorghum,2001,18879,574,115.3,11.1
Indonesia,Maize,2010,64451,2702,99.92,26.5
France,Sweet potatoes,1996,150075,867,135.42,12.5
Mexico,Sweet potatoes,2010,160449,758,96.71,21.0
USA,Potatoes,1999,164010,715,127.57,8.5
Germany,Soybeans,1994,27340,700,135.87,8.5
Netherlands,Maize,2009,62978,850,96.24,9.5
Brazil,Potatoes,1991,198973,1761,148.81,25.0
Pakistan,Soybeans,1994,21765,494,129.08,19.0
Pakistan,Sweet potatoes,1995,102664,494,141.52,19.0
Thailand,Wheat,1995,38215,1622,137.89,28.0
Albania,Soybeans,2009,33436,1485,98.9,16.37
Canada,Wheat,2011,33193,537,86.36,-5.35
Brazil,Rice,1996,59824,1761,136.37,25.0
Germany,Maize,1991,46032,700,155.19,8.5
Pakistan,Potatoes,2000,164018,494,116.05,19.0
Belgium,Potatoes,1998,173338,847,128.41,10.5
India,Maize,2011,83147,1083,85.1,25.0
India,Sweet potatoes,1999,140734,1083,116.68,25.0
Indonesia,Sweet potatoes,2002,158021,2702,106.95,26.5
Thailand,Plantains,1996,82667,1622,130.07,28.0
Bangladesh,Plantains,1991,71365,2666,138.74,25.5
Pakistan,Rice,2011,48288,494,95.12,19.0
USA,Plantains,1998,75211,715,122.45,8.5
Thailand,Potatoes,2012,253868,1622,90.89,28.0
Albania,Rice,1999,56766,1485,125.67,16.37
Indonesia,Rice,2004,66555,2702,104.58,26.5
Pakistan,Potatoes,2009,168365,494,88.65,19.0
Italy,Sweet potatoes,2003,178627,832,101.08,13.5
Vietnam,Wheat,2009,44106,1821,85.01,25.5
Egypt,Sweet potatoes,1996,129546,51,134.57,22.5
Canada,Rice,1997,45805,537,119.38,-5.35
Thailand,Wheat,1991,37939,1622,138.34,28.0
India,Sweet potatoes,2005,187536,1083,95.53,25.0
France,Potatoes,2002,173253,867,116.91,12.5
Albania,Cassava,2005,135985,1485,98.13,16.37
Spain,Maize,2010,63194,636,83.83,14.0
Germany,Sorghum,1993,13564,700,138.9,8.5
Germany,Cassava,2010,172475,700,86.87,8.5
Spain,Plantains,2012,90878,636,84.26,14.0
Vietnam,Maize,1999,56210,1821,117.82,25.5
Spain,Rice,2001,44977,636,114.96,14.0
Germany,Plantains,2006,86460,700,100.89,8.5
Egypt,Sorghum,2013,15716,51,88.13,22.5
Australia,Yams,2001,152182,534,117.62,21.65
Italy,Cassava,2012,162651,832,80.77,13.5
Indonesia,Potatoes,2000,213844,2702,115.85,26.5
Bangladesh,Wheat,2003,40453,2666,118.42,25.5
USA,Maize,2004,61301,715,106.18,8.5
Belgium,Sweet potatoes,1998,138837,847,121.2,10.5
Egypt,Wheat,2007,36829,51,98.4,22.5
Albania,Sorghum,1990,12915,1485,145.7,16.37
China,Maize,1992,53916,645,137.22,8.5
Turkey,Soybeans,2012,32847,574,75.9,11.1
Spain,Yams,1999,133869,636,121.36,14.0
Canada,Sorghum,2002,14773,537,123.36,-5.35
Austria,Maize,2013,71193,1110,78.92,6.35
Pakistan,Yams,2008,98751,494,92.42,19.0
Bangladesh,Potatoes,2011,202959,2666,77.67,25.5
India,Potatoes,1994,202433,1083,134.7,25.0
Bangladesh,Yams,2004,147009,2666,114.45,25.5
Spain,Yams,2010,132783,636,80.7,14.0
Germany,Plantains,1999,78592,700,125.86,8.5
Bangladesh,Cassava,2011,185165,2666,78.88,25.5
Belgium,Potatoes,2007,190871,847,107.88,10.5
Pakistan,Plantains,1995,51706,494,141.67,19.0
Thailand,Sorghum,2010,21962,1622,89.03,28.0
United Kingdom,Cassava,1990,112653,1220,143.68,9.5
Indonesia,Wheat,2001,32315,2702,117.97,26.5
Japan,Yams,2005,121014,1668,102.58,12.0
Bangladesh,Potatoes,2004,187159,2666,117.13,25.5
Turkey,Wheat,2011,43332,574,89.3,11.1
Netherlands,Yams,1998,120838,850,122.39,9.5
Pakistan,Sweet potatoes,2013,126021,494,89.97,19.0
India,Potatoes,2010,219066,1083,95.44,25.0
Vietnam,Cassava,2000,169707,1821,127.37,25.5
Brazil,Wheat,2007,43270,1761,97.85,25.0
Pakistan,Rice,2008,44780,494,88.07,19.0
Netherlands,Wheat,1999,31568,850,117.5,9.5
Netherlands,Rice,2010,54437,850,81.0,9.5
Indonesia,Yams,1996,116110,2702,125.31,26.5
Canada,Cassava,1992,94681,537,150.55,-5.35
Belgium,Wheat,2013,39304,847,73.49,10.5
Egypt,Yams,1997,89850,51,136.56,22.5
Vietnam,Soybeans,2000,34638,1821,116.33,25.5
United Kingdom,Cassava,1997,134922,1220,121.98,9.5
Argentina,Plantains,1998,76554,590,120.62,16.0
Egypt,Sweet potatoes,2002,123518,51,113.81,22.5
Bangladesh,Wheat,2010,35995,2666,99.54,25.5
Germany,Yams,2011,126786,700,86.43,8.5
Spain,Wheat,2007,34789,636,108.23,14.0
Australia,Sweet potatoes,1991,154135,534,149.73,21.65
Brazil,Soybeans,2000,36242,1761,117.98,25.0
Japan,Soybeans,2005,29633,1668,113.98,12.0
Turkey,Sweet potatoes,1992,139873,574,149.1,11.1
Turkey,Yams,2010,134904,574,90.8,11.1
USA,Maize,2003,58085,715,108.1,8.5
Spain,Rice,2007,59748,636,108.39,14.0
India,Plantains,2010,86416,1083,98.31,25.0
Mexico,Wheat,2013,37730,758,81.67,21.0
Thailand,Soybeans,1998,32967,1622,125.65,28.0
USA,Wheat,2000,32436,715,110.24,8.5
Australia,Cassava,1996,156723,534,127.38,21.65
Australia,Plantains,1990,69901,534,154.85,21.65
Belgium,Rice,1991,44408,847,156.61,10.5
Spain,Maize,1997,51738,636,131.76,14.0
Australia,Maize,1992,54197,534,139.77,21.65
Brazil,Cassava,1990,128422,1761,155.29,25.0
Spain,Cassava,1999,137024,636,121.74,14.0
Indonesia,Maize,2013,71541,2702,89.1,26.5
Spain,Wheat,1994,30654,636,138.19,14.0
Brazil,Maize,2012,81970,1761,81.42,25.0
Italy,Cassava,2006,169580,832,100.95,13.5
Turkey,Cassava,1996,126486,574,131.25,11.1
United Kingdom,Maize,2000,50108,1220,118.84,9.5
USA,Rice,1992,47591,715,135.86,8.5
Egypt,Plantains,2010,81638,51,98.49,22.5
Japan,Cassava,1999,136313,1668,124.18,12.0
Japan,Soybeans,2012,30607,1668,84.34,12.0
Japan,Maize,2001,66546,1668,110.13,12.0
Netherlands,Sorghum,2001,17889,850,116.86,9.5
